NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
156,-11.4,1.7142857,4.923077,-0.0013823985,0.041363392,5.7636968e-05
157,-11.4,2.2857144,4.923077,0.0033108378,0.042732738,4.3627253e-05
158,-11.4,2.857143,4.923077,0.017840322,0.04200004,3.5353954e-05
159,-11.4,3.4285715,4.923077,0.022781882,0.041962646,-3.3734632e-05
160,-11.4,4.0,4.923077,0.037426434,0.042410444,-0.00010208085
161,-11.4,0.0,4.3076925,-0.034477744,0.0444361,5.1830455e-05
162,-11.4,0.5714286,4.3076925,-0.020263271,0.040767036,2.5389163e-05
163,-11.4,1.1428572,4.3076925,-0.015668739,0.043639928,9.189967e-06
164,-11.4,1.7142857,4.3076925,-0.001392689,0.04134943,1.777455e-05
165,-11.4,2.2857144,4.3076925,0.003313505,0.042720243,5.4415677e-06
166,-11.4,2.857143,4.3076925,0.017830158,0.04198346,-9.179593e-06
167,-11.4,3.4285715,4.3076925,0.02277628,0.0419482,3.0577106e-05
168,-11.4,4.0,4.3076925,0.03741572,0.04239094,6.307214e-05
169,-11.4,0.0,3.6923077,-0.034492854,0.044436194,-7.7049146e-05
170,-11.4,0.5714286,3.6923077,-0.020277971,0.04076653,-5.15942e-05
171,-11.4,1.1428572,3.6923077,-0.015683929,0.04363992,-3.6075544e-05
172,-11.4,1.7142857,3.6923077,-0.0014074368,0.041349027,-4.5596844e-05
173,-11.4,2.2857144,3.6923077,0.0032982903,0.042720135,-3.3914737e-05
174,-11.4,2.857143,3.6923077,0.017815381,0.041983146,-2.0222742e-05
175,-11.4,3.4285715,3.6923077,0.022761023,0.041948006,-6.06809e-05
176,-11.4,4.0,3.6923077,0.037400886,0.0423907,-9.417955e-05
177,-11.4,0.0,3.0769231,-0.034516215,0.044446103,-0.000103382794
178,-11.4,0.5714286,3.0769231,-0.020301731,0.040781643,-0.00011570456
179,-11.4,1.1428572,3.0769231,-0.015721738,0.043644343,-0.000112647656
180,-11.4,1.7142857,3.0769231,-0.0014266414,0.04136219,-8.5484586e-05
181,-11.4,2.2857144,3.0769231,0.0032651904,0.042732418,-7.20703e-05
182,-11.4,2.857143,3.0769231,0.017795993,0.041999105,-6.478718e-05
183,-11.4,3.4285715,3.0769231,0.02273615,0.041962087,3.6605943e-06
184,-11.4,4.0,3.0769231,0.03738204,0.04240973,7.093673e-05
185,-11.4,0.0,2.4615386,-0.034593765,0.044444244,-0.00020261605
186,-11.4,0.5714286,2.4615386,-0.020339834,0.040784705,-0.00017860014
187,-11.4,1.1428572,2.4615386,-0.015763972,0.043670956,-0.00014645666
188,-11.4,1.7142857,2.4615386,-0.0014663655,0.041388974,-0.00013409693
189,-11.4,2.2857144,2.4615386,0.003219107,0.042753838,-0.000103469545
190,-11.4,2.857143,2.4615386,0.017764276,0.042037565,-6.313529e-05
191,-11.4,3.4285715,2.4615386,0.022689646,0.041988462,-7.793205e-05
192,-11.4,4.0,2.4615386,0.037377376,0.042457834,-9.2776754e-05
193,-11.4,0.0,1.8461539,-0.034622114,0.04446122,-0.00024358479
194,-11.4,0.5714286,1.8461539,-0.020388259,0.040849455,-0.00021432377
195,-11.4,1.1428572,1.8461539,-0.015842555,0.04367211,-0.00018922216
196,-11.4,1.7142857,1.8461539,-0.0015100816,0.041450374,-0.00015820465
197,-11.4,2.2857144,1.8461539,0.0031448074,0.042782098,-0.000115024544
198,-11.4,2.857143,1.8461539,0.017708471,0.042099055,-9.5648466e-05
199,-11.4,3.4285715,1.8461539,0.022629008,0.042027567,-6.1702923e-07
200,-11.4,4.0,1.8461539,0.037310194,0.04251638,0.00011752809
201,-11.4,0.0,1.2307693,-0.03477034,0.044508427,-0.00022823387
202,-11.4,0.5714286,1.2307693,-0.020501131,0.040830057,-0.00024121764
203,-11.4,1.1428572,1.2307693,-0.01592522,0.043772675,-0.0002116892
204,-11.4,1.7142857,1.2307693,-0.0016269399,0.04146105,-0.00015928212
205,-11.4,2.2857144,1.2307693,0.0030521713,0.04287232,-0.00013702404
206,-11.4,2.857143,1.2307693,0.017603103,0.042141896,-6.468864e-05
207,-11.4,3.4285715,1.2307693,0.022521438,0.042114303,-6.1007016e-05
208,-11.4,4.0,1.2307693,0.037235036,0.04258425,-9.16119e-05
209,-11.4,0.0,0.61538464,-0.034827057,0.044560596,-0.0003789766
210,-11.4,0.5714286,0.61538464,-0.020791208,0.04090706,-0.00023437526
211,-11.4,1.1428572,0.61538464,-0.016036961,0.043793574,-0.00018386637
212,-11.4,1.7142857,0.61538464,-0.0018917219,0.041537687,-0.0001890169
213,-11.4,2.2857144,0.61538464,0.0029726983,0.04294496,-9.27308e-05
214,-11.4,2.857143,0.61538464,0.01734587,0.042192996,-8.783277e-05
215,-11.4,3.4285715,0.61538464,0.022479558,0.04223292,1.0557869e-05
216,-11.4,4.0,0.61538464,0.036945876,0.042591985,0.00019922455
217,-11.4,0.0,0.0,-0.03503212,0.044418324,-0.000117382944
218,-11.4,0.5714286,0.0,-0.021134904,0.041073963,-0.0002453199
219,-11.4,1.1428572,0.0,-0.016167538,0.043775033,-0.00025641697
220,-11.4,1.7142857,0.0,-0.002247276,0.04163592,-6.544125e-05
221,-11.4,2.2857144,0.0,0.0028482466,0.042991675,-0.00016284928
222,-11.4,2.857143,0.0,0.017045276,0.04225478,-1.2421852e-05
223,-11.4,3.4285715,0.0,0.022392489,0.042303514,-1.372848e-05
224,-11.4,4.0,0.0,0.036720917,0.04267728,-0.00012965847
225,-10.8,0.0,8.0,-0.030639559,0.030945098,0.0006080469
226,-10.8,0.5714286,8.0,-0.02528796,0.034201007,0.00042992376
227,-10.8,1.1428572,8.0,-0.011820616,0.03130099,0.0003299919
228,-10.8,1.7142857,8.0,-0.006433051,0.03336474,0.0004323784
229,-10.8,2.2857144,8.0,0.0072430647,0.031890392,0.00022906208
230,-10.8,2.857143,8.0,0.012804479,0.032491893,0.00024578927
231,-10.8,3.4285715,8.0,0.026826378,0.03238857,0.00010510461
232,-10.8,4.0,8.0,0.032522492,0.031834062,-0.00019338798
233,-10.8,0.0,7.3846154,-0.030343985,0.030707803,0.0003482822
234,-10.8,0.5714286,7.3846154,-0.025145961,0.034293048,0.00042513176
235,-10.8,1.1428572,7.3846154,-0.011470722,0.031171596,0.00040702627
236,-10.8,1.7142857,7.3846154,-0.006294172,0.033333633,0.00031411592
237,-10.8,2.2857144,7.3846154,0.0075443797,0.031793565,0.00029826935
238,-10.8,2.857143,7.3846154,0.012905318,0.03239502,0.00018404963
239,-10.8,3.4285715,7.3846154,0.027056716,0.032285143,0.00014318332
240,-10.8,4.0,7.3846154,0.032588493,0.031731438,0.00018306948
241,-10.8,0.0,6.769231,-0.030046402,0.030703375,0.00045848227
242,-10.8,0.5714286,6.769231,-0.025060823,0.034280248,0.00039216646
243,-10.8,1.1428572,6.769231,-0.01123389,0.031076014,0.0003525193
244,-10.8,1.7142857,6.769231,-0.006237613,0.033282306,0.0003181358
245,-10.8,2.2857144,6.769231,0.007777326,0.03172379,0.00024209319
246,-10.8,2.857143,6.769231,0.012935606,0.032285348,0.0002008366
247,-10.8,3.4285715,6.769231,0.027273612,0.032243423,8.160666e-05
248,-10.8,4.0,6.769231,0.032612033,0.031571474,-8.4010615e-05
249,-10.8,0.0,6.1538463,-0.030005291,0.030677514,0.00036281833
250,-10.8,0.5714286,6.1538463,-0.025014782,0.034175254,0.0003313828
251,-10.8,1.1428572,6.1538463,-0.011159952,0.03108738,0.00029562524
252,-10.8,1.7142857,6.1538463,-0.0061829155,0.033186343,0.0002559279
253,-10.8,2.2857144,6.1538463,0.007844984,0.031696085,0.00021273847
254,-10.8,2.857143,6.1538463,0.0130015435,0.032201085,0.00013918048
255,-10.8,3.4285715,6.1538463,0.02734358,0.032194022,0.00013616632
256,-10.8,4.0,6.1538463,0.032684337,0.03150107,0.00014999787
257,-10.8,0.0,5.5384617,-0.02996874,0.030654034,0.00024137094
258,-10.8,0.5714286,5.5384617,-0.024974136,0.03419108,0.00023865099
259,-10.8,1.1428572,5.5384617,-0.01114503,0.03101852,0.00022422988
260,-10.8,1.7142857,5.5384617,-0.006145828,0.033174105,0.00017918415
261,-10.8,2.2857144,5.5384617,0.007871956,0.031640816,0.00014678141
262,-10.8,2.857143,5.5384617,0.013039371,0.03217504,0.00011979101
263,-10.8,3.4285715,5.5384617,0.027367918,0.032138478,3.3667882e-05
264,-10.8,4.0,5.5384617,0.03270194,0.031459473,-5.5582885e-05
265,-10.8,0.0,4.923077,-0.029971672,0.03062924,0.00017574617
266,-10.8,0.5714286,4.923077,-0.024955608,0.034160543,0.00014017681
267,-10.8,1.1428572,4.923077,-0.01113758,0.03100721,0.00011456978
268,-10.8,1.7142857,4.923077,-0.0061272103,0.033155296,0.00010740497
269,-10.8,2.2857144,4.923077,0.007872551,0.031613015,8.111778e-05
270,-10.8,2.857143,4.923077,0.013056945,0.03215949,4.73771e-05
271,-10.8,3.4285715,4.923077,0.027361188,0.032105714,7.379187e-05
272,-10.8,4.0,4.923077,0.03271075,0.031444263,9.928338e-05
273,-10.8,0.0,4.3076925,-0.029969612,0.030630039,3.3414801e-06
274,-10.8,0.5714286,4.3076925,-0.024950039,0.034164455,2.7113008e-05
275,-10.8,1.1428572,4.3076925,-0.011145471,0.03099357,3.2234657e-05
276,-10.8,1.7142857,4.3076925,-0.0061260085,0.03314923,1.0432419e-05
277,-10.8,2.2857144,4.3076925,0.007864894,0.031602073,8.844863e-06
278,-10.8,2.857143,4.3076925,0.0130551625,0.03215104,9.070867e-06
279,-10.8,3.4285715,4.3076925,0.027348878,0.032091938,-4.557621e-05
280,-10.8,4.0,4.3076925,0.032697447,0.03143224,-9.4292984e-05
281,-10.8,0.0,3.6923077,-0.029984454,0.030629473,-5.786889e-05
282,-10.8,0.5714286,3.6923077,-0.024965206,0.03416451,-8.239775e-05
283,-10.8,1.1428572,3.6923077,-0.011160224,0.03099312,-8.84585e-05
284,-10.8,1.7142857,3.6923077,-0.006141186,0.033149183,-6.7339904e-05
285,-10.8,2.2857144,3.6923077,0.007850104,0.03160173,-6.6649525e-05
286,-10.8,2.857143,3.6923077,0.0130399605,0.032150898,-6.7568006e-05
287,-10.8,3.4285715,3.6923077,0.027334062,0.032091685,-1.3845607e-05
288,-10.8,4.0,3.6923077,0.032682236,0.031432033,3.4108354e-05
289,-10.8,0.0,3.0769231,-0.030015836,0.030627646,-0.00023035107
290,-10.8,0.5714286,3.0769231,-0.025001023,0.03416071,-0.00019543247
291,-10.8,1.1428572,3.0769231,-0.011181885,0.031005867,-0.00017081639
292,-10.8,1.7142857,3.0769231,-0.006172722,0.03315515,-0.00016427986
293,-10.8,2.2857144,3.0769231,0.007828173,0.03161199,-0.00013895282
294,-10.8,2.857143,3.0769231,0.013011342,0.03215907,-0.00010583955
295,-10.8,3.4285715,3.0769231,0.027316712,0.03210493,-0.00013324308
296,-10.8,4.0,3.0769231,0.03266503,0.03144364,-0.00015941904
297,-10.8,0.0,2.4615386,-0.030042604,0.030651348,-0.00029591413
298,-10.8,0.5714286,2.4615386,-0.025049884,0.034191348,-0.0002938637
299,-10.8,1.1428572,2.4615386,-0.011218851,0.031016305,-0.00028050656
300,-10.8,1.7142857,2.4615386,-0.0062216907,0.033173848,-0.00023602287
301,-10.8,2.2857144,2.4615386,0.007797995,0.03163914,-0.0002046381
302,-10.8,2.857143,2.4615386,0.012963375,0.032174338,-0.00017822633
303,-10.8,3.4285715,2.4615386,0.027293812,0.032137208,-9.313986e-05
304,-10.8,4.0,2.4615386,0.03262582,0.031458434,-4.5404263e-06
305,-10.8,0.0,1.8461539,-0.030108472,0.030673804,-0.00041747733
306,-10.8,0.5714286,1.8461539,-0.025120817,0.03417563,-0.0003866052
307,-10.8,1.1428572,1.8461539,-0.011263312,0.031084301,-0.0003518786
308,-10.8,1.7142857,1.8461539,-0.0062891333,0.033185996,-0.00031276324
309,-10.8,2.2857144,1.8461539,0.007741463,0.03169375,-0.0002705891
310,-10.8,2.857143,1.8461539,0.012895139,0.03220011,-0.0001976074
311,-10.8,3.4285715,1.8461539,0.027239857,0.03219226,-0.00019563246
312,-10.8,4.0,1.8461539,0.032577705,0.031499606,-0.00021006996
313,-10.8,0.0,1.2307693,-0.030179193,0.030698283,-0.0005130424
314,-10.8,0.5714286,1.2307693,-0.025197336,0.03428106,-0.0004473461
315,-10.8,1.1428572,1.2307693,-0.011366651,0.031071838,-0.00040878158
316,-10.8,1.7142857,1.2307693,-0.006374316,0.03328205,-0.00037494852
317,-10.8,2.2857144,1.2307693,0.0076443627,0.031720705,-0.00029993698
318,-10.8,2.857143,1.2307693,0.012798703,0.032284178,-0.00025925713
319,-10.8,3.4285715,1.2307693,0.027140422,0.032241173,-0.00014106467
320,-10.8,4.0,1.2307693,0.032474924,0.031569608,2.3910237e-05
321,-10.8,0.0,0.61538464,-0.030506138,0.030701427,-0.0004028214
322,-10.8,0.5714286,0.61538464,-0.025312785,0.034294214,-0.00048034746
323,-10.8,1.1428572,0.61538464,-0.0116330385,0.031166418,-0.00046326258
324,-10.8,1.7142857,0.61538464,-0.006461222,0.033333454,-0.00037091726
325,-10.8,2.2857144,0.61538464,0.0073818667,0.031789728,-0.00035609928
326,-10.8,2.857143,0.61538464,0.012738048,0.03239371,-0.00024245842
327,-10.8,3.4285715,0.61538464,0.026893958,0.03228234,-0.00020263034
328,-10.8,4.0,0.61538464,0.032420937,0.03172925,-0.00024310812
329,-10.8,0.0,0.0,-0.030831698,0.030938197,-0.00066284265
330,-10.8,0.5714286,0.0,-0.025484895,0.03420196,-0.00048506111
331,-10.8,1.1428572,0.0,-0.01201272,0.031295232,-0.00038614427
332,-10.8,1.7142857,0.0,-0.0066302028,0.033364363,-0.00048921694
333,-10.8,2.2857144,0.0,0.0070507573,0.03188604,-0.00028684345
334,-10.8,2.857143,0.0,0.012607125,0.03249032,-0.00030419824
335,-10.8,3.4285715,0.0,0.026633834,0.032385316,-0.00016454354
336,-10.8,4.0,0.0,0.03232491,0.031831563,0.00013332536
337,-10.2,0.0,8.0,-0.03462366,0.024615549,0.00054626825
338,-10.2,0.5714286,8.0,-0.021507414,0.021045152,0.00071992894
339,-10.2,1.1428572,8.0,-0.015902195,0.023950193,0.0007968969
340,-10.2,1.7142857,8.0,-0.0025211251,0.021550022,0.0005764399
341,-10.2,2.2857144,8.0,0.0031106577,0.02278141,0.00061620976
342,-10.2,2.857143,8.0,0.016664805,0.022069031,0.000417452
343,-10.2,3.4285715,8.0,0.022735352,0.02191459,0.0002875375
344,-10.2,4.0,8.0,0.036525782,0.022346016,0.00034337895
345,-10.2,0.0,7.3846154,-0.034375872,0.024891855,0.0008115885
346,-10.2,0.5714286,7.3846154,-0.021087581,0.020871196,0.00070907146
347,-10.2,1.1428572,7.3846154,-0.015696982,0.023962108,0.00065203296
348,-10.2,1.7142857,7.3846154,-0.002156145,0.02142206,0.0006285776
349,-10.2,2.2857144,7.3846154,0.0032797835,0.022679891,0.0005021104
350,-10.2,2.857143,7.3846154,0.016952813,0.021927841,0.0004190582
351,-10.2,3.4285715,7.3846154,0.022815408,0.021757051,0.00025088878
352,-10.2,4.0,7.3846154,0.036752615,0.02218496,-1.2671294e-05
353,-10.2,0.0,6.769231,-0.034321446,0.024807533,0.00066450634
354,-10.2,0.5714286,6.769231,-0.020870302,0.020770961,0.00064117915
355,-10.2,1.1428572,6.769231,-0.015641255,0.023938656,0.00060099823
356,-10.2,1.7142857,6.769231,-0.0019341545,0.02132353,0.00053051225
357,-10.2,2.2857144,6.769231,0.0033005343,0.022572914,0.00045495582
