NodeLabel,X_mm,Y_mm,Z_mm
247,-10.8,3.4285715,6.769231
248,-10.8,4.0,6.769231
249,-10.8,0.0,6.1538463
250,-10.8,0.5714286,6.1538463
251,-10.8,1.1428572,6.1538463
252,-10.8,1.7142857,6.1538463
253,-10.8,2.2857144,6.1538463
254,-10.8,2.857143,6.1538463
255,-10.8,3.4285715,6.1538463
256,-10.8,4.0,6.1538463
257,-10.8,0.0,5.5384617
258,-10.8,0.5714286,5.5384617
259,-10.8,1.1428572,5.5384617
260,-10.8,1.7142857,5.5384617
261,-10.8,2.2857144,5.5384617
262,-10.8,2.857143,5.5384617
263,-10.8,3.4285715,5.5384617
264,-10.8,4.0,5.5384617
265,-10.8,0.0,4.923077
266,-10.8,0.5714286,4.923077
267,-10.8,1.1428572,4.923077
268,-10.8,1.7142857,4.923077
269,-10.8,2.2857144,4.923077
270,-10.8,2.857143,4.923077
271,-10.8,3.4285715,4.923077
272,-10.8,4.0,4.923077
273,-10.8,0.0,4.3076925
274,-10.8,0.5714286,4.3076925
275,-10.8,1.1428572,4.3076925
276,-10.8,1.7142857,4.3076925
277,-10.8,2.2857144,4.3076925
278,-10.8,2.857143,4.3076925
279,-10.8,3.4285715,4.3076925
280,-10.8,4.0,4.3076925
281,-10.8,0.0,3.6923077
282,-10.8,0.5714286,3.6923077
283,-10.8,1.1428572,3.6923077
284,-10.8,1.7142857,3.6923077
285,-10.8,2.2857144,3.6923077
286,-10.8,2.857143,3.6923077
287,-10.8,3.4285715,3.6923077
288,-10.8,4.0,3.6923077
289,-10.8,0.0,3.0769231
290,-10.8,0.5714286,3.0769231
291,-10.8,1.1428572,3.0769231
292,-10.8,1.7142857,3.0769231
293,-10.8,2.2857144,3.0769231
294,-10.8,2.857143,3.0769231
295,-10.8,3.4285715,3.0769231
296,-10.8,4.0,3.0769231
297,-10.8,0.0,2.4615386
298,-10.8,0.5714286,2.4615386
299,-10.8,1.1428572,2.4615386
300,-10.8,1.7142857,2.4615386
301,-10.8,2.2857144,2.4615386
302,-10.8,2.857143,2.4615386
303,-10.8,3.4285715,2.4615386
304,-10.8,4.0,2.4615386
305,-10.8,0.0,1.8461539
306,-10.8,0.5714286,1.8461539
307,-10.8,1.1428572,1.8461539
308,-10.8,1.7142857,1.8461539
309,-10.8,2.2857144,1.8461539
310,-10.8,2.857143,1.8461539
311,-10.8,3.4285715,1.8461539
312,-10.8,4.0,1.8461539
313,-10.8,0.0,1.2307693
314,-10.8,0.5714286,1.2307693
315,-10.8,1.1428572,1.2307693
316,-10.8,1.7142857,1.2307693
317,-10.8,2.2857144,1.2307693
318,-10.8,2.857143,1.2307693
319,-10.8,3.4285715,1.2307693
320,-10.8,4.0,1.2307693
321,-10.8,0.0,0.61538464
322,-10.8,0.5714286,0.61538464
323,-10.8,1.1428572,0.61538464
324,-10.8,1.7142857,0.61538464
325,-10.8,2.2857144,0.61538464
326,-10.8,2.857143,0.61538464
327,-10.8,3.4285715,0.61538464
328,-10.8,4.0,0.61538464
329,-10.8,0.0,0.0
330,-10.8,0.5714286,0.0
331,-10.8,1.1428572,0.0
332,-10.8,1.7142857,0.0
333,-10.8,2.2857144,0.0
334,-10.8,2.857143,0.0
335,-10.8,3.4285715,0.0
336,-10.8,4.0,0.0
337,-10.2,0.0,8.0
338,-10.2,0.5714286,8.0
339,-10.2,1.1428572,8.0
340,-10.2,1.7142857,8.0
341,-10.2,2.2857144,8.0
342,-10.2,2.857143,8.0
343,-10.2,3.4285715,8.0
344,-10.2,4.0,8.0
345,-10.2,0.0,7.3846154
346,-10.2,0.5714286,7.3846154
347,-10.2,1.1428572,7.3846154
348,-10.2,1.7142857,7.3846154
349,-10.2,2.2857144,7.3846154
350,-10.2,2.857143,7.3846154
351,-10.2,3.4285715,7.3846154
352,-10.2,4.0,7.3846154
353,-10.2,0.0,6.769231
354,-10.2,0.5714286,6.769231
355,-10.2,1.1428572,6.769231
356,-10.2,1.7142857,6.769231
357,-10.2,2.2857144,6.769231
358,-10.2,2.857143,6.769231
359,-10.2,3.4285715,6.769231
360,-10.2,4.0,6.769231
361,-10.2,0.0,6.1538463
362,-10.2,0.5714286,6.1538463
363,-10.2,1.1428572,6.1538463
364,-10.2,1.7142857,6.1538463
365,-10.2,2.2857144,6.1538463
366,-10.2,2.857143,6.1538463
367,-10.2,3.4285715,6.1538463
368,-10.2,4.0,6.1538463
369,-10.2,0.0,5.5384617
370,-10.2,0.5714286,5.5384617
371,-10.2,1.1428572,5.5384617
372,-10.2,1.7142857,5.5384617
373,-10.2,2.2857144,5.5384617
374,-10.2,2.857143,5.5384617
375,-10.2,3.4285715,5.5384617
376,-10.2,4.0,5.5384617
377,-10.2,0.0,4.923077
378,-10.2,0.5714286,4.923077
379,-10.2,1.1428572,4.923077
380,-10.2,1.7142857,4.923077
381,-10.2,2.2857144,4.923077
382,-10.2,2.857143,4.923077
383,-10.2,3.4285715,4.923077
384,-10.2,4.0,4.923077
385,-10.2,0.0,4.3076925
386,-10.2,0.5714286,4.3076925
387,-10.2,1.1428572,4.3076925
388,-10.2,1.7142857,4.3076925
389,-10.2,2.2857144,4.3076925
390,-10.2,2.857143,4.3076925
391,-10.2,3.4285715,4.3076925
392,-10.2,4.0,4.3076925
393,-10.2,0.0,3.6923077
394,-10.2,0.5714286,3.6923077
395,-10.2,1.1428572,3.6923077
396,-10.2,1.7142857,3.6923077
397,-10.2,2.2857144,3.6923077
398,-10.2,2.857143,3.6923077
399,-10.2,3.4285715,3.6923077
400,-10.2,4.0,3.6923077
401,-10.2,0.0,3.0769231
402,-10.2,0.5714286,3.0769231
403,-10.2,1.1428572,3.0769231
404,-10.2,1.7142857,3.0769231
405,-10.2,2.2857144,3.0769231
406,-10.2,2.857143,3.0769231
407,-10.2,3.4285715,3.0769231
408,-10.2,4.0,3.0769231
409,-10.2,0.0,2.4615386
410,-10.2,0.5714286,2.4615386
411,-10.2,1.1428572,2.4615386
412,-10.2,1.7142857,2.4615386
413,-10.2,2.2857144,2.4615386
414,-10.2,2.857143,2.4615386
415,-10.2,3.4285715,2.4615386
416,-10.2,4.0,2.4615386
417,-10.2,0.0,1.8461539
418,-10.2,0.5714286,1.8461539
419,-10.2,1.1428572,1.8461539
420,-10.2,1.7142857,1.8461539
421,-10.2,2.2857144,1.8461539
422,-10.2,2.857143,1.8461539
423,-10.2,3.4285715,1.8461539
424,-10.2,4.0,1.8461539
425,-10.2,0.0,1.2307693
426,-10.2,0.5714286,1.2307693
427,-10.2,1.1428572,1.2307693
428,-10.2,1.7142857,1.2307693
429,-10.2,2.2857144,1.2307693
430,-10.2,2.857143,1.2307693
431,-10.2,3.4285715,1.2307693
432,-10.2,4.0,1.2307693
