ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
71,1,6.4229584e-06,-1.2708569e-05,-8.235358e-07,-2.3279104e-05,-3.8772214e-05,-1.7558275e-06
72,1,-1.4442008e-05,7.0985705e-05,-1.4705509e-05,-0.00015484722,-5.021997e-05,-1.1801205e-05
73,1,-2.1696576e-06,6.850075e-05,-1.8723755e-05,7.112504e-05,-4.8956143e-05,-1.4256711e-05
74,1,-4.1067165e-06,0.00011857087,-2.4367298e-05,-0.00021321597,-3.991161e-05,-1.6415694e-05
75,1,-4.0939987e-05,0.00014818343,-3.1266023e-05,0.00013468543,-3.0640116e-05,-2.1982998e-05
76,1,1.1828719e-05,6.863431e-05,-3.7024147e-05,8.645103e-05,-1.9602921e-05,-2.376041e-05
77,1,3.4383384e-06,4.0107745e-05,-4.7347432e-05,6.8732516e-05,-2.1168518e-05,-1.0606453e-05
78,1,2.106057e-05,-1.0535033e-05,-2.4506526e-05,-1.1457395e-05,-6.3671246e-06,-1.1978437e-05
79,1,-1.6247173e-05,7.976932e-05,-3.1812953e-05,-0.00015534813,5.3962385e-06,-1.21549765e-05
80,1,7.6934776e-07,7.9526544e-05,-4.377783e-05,7.3517e-05,-7.5204352e-06,-1.4181147e-05
81,1,1.1849538e-06,0.0001321106,-4.9973394e-05,-0.00020423884,-1.0273763e-05,-2.6781843e-05
82,1,-4.256892e-05,0.00015759627,-4.8747508e-05,0.00013213945,-5.544663e-06,-3.8064813e-05
83,1,1.6008651e-05,7.302041e-05,-4.5024834e-05,8.6946966e-05,-2.6025884e-06,-3.9350056e-05
84,1,-1.0616843e-06,3.873051e-05,-4.033292e-05,6.686951e-05,1.963633e-05,-1.8259196e-05
85,1,7.5891035e-06,-4.17708e-06,-1.5505968e-05,-2.2268961e-05,4.4283606e-05,-2.8752004e-06
86,1,-1.8272753e-05,8.319343e-05,-2.665613e-05,-0.00014946888,-4.3098754e-07,-8.116615e-06
87,1,-4.793476e-06,8.872856e-05,-4.4565553e-05,6.776154e-05,1.7861565e-05,-9.547175e-07
88,1,-4.8898505e-06,0.0001404786,-5.7005374e-05,-0.00018137963,9.880052e-06,-1.5730573e-05
89,1,-4.0605955e-05,0.00016180023,-5.3331216e-05,0.00015211382,-5.081452e-06,-2.4627185e-05
90,1,9.423795e-06,7.748157e-05,-4.216859e-05,0.00011885553,1.591174e-05,-2.3304574e-05
91,1,-1.3251071e-06,3.0024361e-05,-1.7044986e-05,8.394116e-05,8.013432e-06,-1.3655414e-05
92,1,-2.2123781e-06,7.6169265e-05,5.5990045e-06,-0.00017553696,1.3203402e-05,9.7306665e-06
93,1,1.1928222e-06,-6.2766216e-05,3.92356e-06,7.49373e-05,-4.3810618e-05,-1.0319951e-06
94,1,-1.0921077e-05,6.67406e-05,-5.1103866e-06,-0.00046684835,-1.5456386e-06,1.0606227e-05
95,1,-1.3738201e-05,2.7012533e-05,-2.2706315e-06,0.00025015205,1.1433505e-05,7.124805e-06
96,1,-2.9452238e-05,2.1102811e-05,-4.3088407e-06,-0.00017267837,-1.7508975e-05,4.020078e-06
97,1,-2.8836364e-05,8.568863e-05,-1.008445e-05,0.00047097303,1.5592881e-05,6.4569867e-06
98,1,3.915899e-05,-1.2287351e-05,-2.3787343e-05,0.00018100065,-4.616158e-05,-2.5845454e-06
99,1,1.4586481e-05,7.0443006e-05,2.3851288e-05,-0.00017591722,-8.700459e-06,9.0341075e-08
100,1,2.2582139e-05,-8.541203e-05,1.7615692e-05,0.00010332831,5.9831833e-05,1.4702223e-05
101,1,5.338609e-06,5.409066e-05,1.779767e-05,-0.0005191792,5.8275284e-05,1.1139988e-05
102,1,-4.225247e-06,1.7568214e-05,1.2681991e-05,0.00024194103,5.0817074e-05,6.8567515e-06
103,1,-1.8803485e-05,7.4142513e-06,6.071174e-06,-0.00024049221,4.478675e-05,1.0091536e-05
104,1,-2.3582494e-05,8.0244456e-05,-1.4483275e-06,0.00040906976,1.2892061e-05,7.4099303e-06
105,1,4.577186e-05,-2.1139069e-05,-1.2532259e-05,0.00014646351,-2.307787e-06,3.085607e-06
106,1,8.257882e-06,5.2143816e-05,5.939608e-05,-0.00017402462,0.00016446854,9.497329e-06
107,1,8.880838e-06,-9.4207215e-05,5.9503815e-05,8.479427e-05,0.00014021534,6.0089e-06
108,1,-7.5667785e-06,4.2181244e-05,5.093798e-05,-0.0005275987,0.000131839,-3.0707477e-07
109,1,-1.25149945e-05,9.307214e-06,4.1047602e-05,0.00023932409,0.00011483341,-1.1497506e-06
110,1,-2.5127209e-05,-3.867504e-06,3.008049e-05,-0.00025457097,8.567722e-05,-2.175588e-06
111,1,-2.682079e-05,7.745193e-05,1.437698e-05,0.00040700208,6.343424e-05,1.2556177e-06
112,1,4.1970627e-05,-2.5609013e-05,-5.9041627e-06,0.00014252508,4.0965027e-05,1.3694245e-06
113,1,-1.2453928e-05,4.417698e-05,0.00010406779,-0.00018525243,0.00012722335,-5.9414438e-06
114,1,-1.8023196e-06,-0.00010141213,8.666818e-05,8.751227e-05,0.00013095415,-6.112251e-06
115,1,-1.5871248e-05,3.3763547e-05,7.7525336e-05,-0.0005186893,0.0001232359,-7.6253004e-06
