CaseID,E1_MPa,E2_MPa,G12_MPa,Final_U2_mm,Final_RF2_N,Abs_Final_RF2_N,NodeCount,Status
Case_0039,46688.136188,12668.087688,4648.254831,-0.200000002980232,-2035.97717285156,2035.97717285156,4592,OK
Case_0040,42339.354835,12393.547733,4639.564179,-0.200000002980232,-1932.11901855469,1932.11901855469,4592,OK
Case_0041,47495.107242,11573.498484,4590.265641,-0.200000002980232,-2020.75305175781,2020.75305175781,4592,OK
Case_0042,41352.564819,11308.602645,4907.913684,-0.200000002980232,-1923.5859375,1923.5859375,4592,OK
Case_0043,47888.248389,12487.754354,4829.134486,-0.200000002980232,-2086.62036132812,2086.62036132812,4592,OK
Case_0044,48292.089833,12270.014409,4873.149096,-0.200000002980232,-2097.453125,2097.453125,4592,OK
Case_0045,48434.362556,12833.423077,4412.523281,-0.200000002980232,-2036.0771484375,2036.0771484375,4592,OK
Case_0046,43666.067823,13019.561836,4922.760085,-0.200000002980232,-2015.42626953125,2015.42626953125,4592,OK
Case_0047,48101.02169,11212.627633,4669.315453,-0.200000002980232,-2037.60632324219,2037.60632324219,4592,OK
Case_0048,42875.790777,12449.947865,4732.243972,-0.200000002980232,-1959.01794433594,1959.01794433594,4592,OK
Case_0049,44521.245093,13107.780338,4108.37395,-0.200000002980232,-1907.58190917969,1907.58190917969,4592,OK
Case_0050,44667.98631,11033.33294,4295.631236,-0.200000002980232,-1902.86108398438,1902.86108398438,4592,OK
