NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
223,-11.4,3.4285715,0.0,0.022355337,0.042448062,1.2340771e-05
224,-11.4,4.0,0.0,0.036839955,0.042914987,-0.00012821228
225,-10.8,0.0,8.0,-0.030635737,0.031122154,0.0006064404
226,-10.8,0.5714286,8.0,-0.025390215,0.03436136,0.0004243105
227,-10.8,1.1428572,8.0,-0.011784542,0.031491417,0.00032080722
228,-10.8,1.7142857,8.0,-0.0065001193,0.033513766,0.0004321352
229,-10.8,2.2857144,8.0,0.00731655,0.032092713,0.00021684587
230,-10.8,2.857143,8.0,0.012774777,0.032628432,0.00023923776
231,-10.8,3.4285715,8.0,0.026937705,0.03260354,9.540368e-05
232,-10.8,4.0,8.0,0.032527328,0.03195526,-0.00023269453
233,-10.8,0.0,7.3846154,-0.030325562,0.030869158,0.00034488481
234,-10.8,0.5714286,7.3846154,-0.025250625,0.034466796,0.00041760408
235,-10.8,1.1428572,7.3846154,-0.011418581,0.03135258,0.00040317868
236,-10.8,1.7142857,7.3846154,-0.006365936,0.03348336,0.00030716512
237,-10.8,2.2857144,7.3846154,0.007628875,0.031993624,0.00029329894
238,-10.8,2.857143,7.3846154,0.012866504,0.03252559,0.00017232096
239,-10.8,3.4285715,7.3846154,0.027172929,0.032500643,0.00013108487
240,-10.8,4.0,7.3846154,0.032582667,0.03184615,0.00018641265
241,-10.8,0.0,6.769231,-0.030008234,0.030864527,0.0004465119
242,-10.8,0.5714286,6.769231,-0.025169298,0.034452446,0.00038901877
243,-10.8,1.1428572,6.769231,-0.011166352,0.031256087,0.00034940473
244,-10.8,1.7142857,6.769231,-0.006316866,0.033426944,0.00031401464
245,-10.8,2.2857144,6.769231,0.007874572,0.0319252,0.00023512113
246,-10.8,2.857143,6.769231,0.012885505,0.032406807,0.00019451516
247,-10.8,3.4285715,6.769231,0.02739998,0.03246363,6.9773705e-05
248,-10.8,4.0,6.769231,0.032592118,0.031672955,-0.000112017355
249,-10.8,0.0,6.1538463,-0.02996027,0.030844716,0.00036668114
250,-10.8,0.5714286,6.1538463,-0.025124481,0.034341734,0.00032943397
251,-10.8,1.1428572,6.1538463,-0.011087022,0.031271193,0.0002934593
252,-10.8,1.7142857,6.1538463,-0.0062641595,0.033325437,0.00025449312
253,-10.8,2.2857144,6.1538463,0.007945665,0.03189919,0.00020951898
254,-10.8,2.857143,6.1538463,0.012948158,0.032317154,0.00013100378
255,-10.8,3.4285715,6.1538463,0.027471783,0.03241522,0.00012900817
256,-10.8,4.0,6.1538463,0.032661714,0.031598818,0.00015087625
257,-10.8,0.0,5.5384617,-0.029921345,0.030816859,0.00023783099
258,-10.8,0.5714286,5.5384617,-0.025082847,0.034362674,0.00024003537
259,-10.8,1.1428572,5.5384617,-0.011070763,0.031198412,0.00022646197
260,-10.8,1.7142857,5.5384617,-0.0062272325,0.03331537,0.0001789595
261,-10.8,2.2857144,5.5384617,0.007973487,0.031840786,0.00014526298
262,-10.8,2.857143,5.5384617,0.0129847955,0.032291703,0.000118065625
263,-10.8,3.4285715,5.5384617,0.027496492,0.032357138,2.622739e-05
264,-10.8,4.0,5.5384617,0.0326762,0.031556714,-7.1901086e-05
265,-10.8,0.0,4.923077,-0.029922817,0.030793363,0.00018162711
266,-10.8,0.5714286,4.923077,-0.02506477,0.034332775,0.00014403074
267,-10.8,1.1428572,4.923077,-0.011062776,0.031187052,0.00011742279
268,-10.8,1.7142857,4.923077,-0.0062090834,0.0332968,0.00011088617
269,-10.8,2.2857144,4.923077,0.007973914,0.031811826,8.3081875e-05
270,-10.8,2.857143,4.923077,0.013001598,0.032276247,4.6170622e-05
271,-10.8,3.4285715,4.923077,0.027488923,0.032323387,7.472835e-05
272,-10.8,4.0,4.923077,0.03268455,0.03154193,0.000105598396
273,-10.8,0.0,4.3076925,-0.029921437,0.030793708,7.5741136e-06
274,-10.8,0.5714286,4.3076925,-0.025059737,0.034338225,3.3134787e-05
275,-10.8,1.1428572,4.3076925,-0.011071445,0.031172525,3.8688886e-05
276,-10.8,1.7142857,4.3076925,-0.0062087206,0.033291362,1.5465639e-05
277,-10.8,2.2857144,4.3076925,0.007965446,0.031800132,1.3783217e-05
278,-10.8,2.857143,4.3076925,0.012998744,0.032268055,1.5007645e-05
279,-10.8,3.4285715,4.3076925,0.027475694,0.03230889,-4.3651184e-05
280,-10.8,4.0,4.3076925,0.03266945,0.03153003,-9.816634e-05
281,-10.8,0.0,3.6923077,-0.029937675,0.03079302,-4.807744e-05
282,-10.8,0.5714286,3.6923077,-0.025076376,0.034338307,-7.4429496e-05
283,-10.8,1.1428572,3.6923077,-0.011087575,0.031171976,-8.112476e-05
284,-10.8,1.7142857,3.6923077,-0.006225377,0.03329131,-5.8594356e-05
285,-10.8,2.2857144,3.6923077,0.00794927,0.031799722,-5.8000434e-05
286,-10.8,2.857143,3.6923077,0.012982059,0.03226789,-5.9926235e-05
287,-10.8,3.4285715,3.6923077,0.02745949,0.032308586,-2.3891512e-06
288,-10.8,4.0,3.6923077,0.03265276,0.031529777,5.1333904e-05
289,-10.8,0.0,3.0769231,-0.0299711,0.030791411,-0.00022220289
290,-10.8,0.5714286,3.0769231,-0.025114592,0.034333,-0.00018531192
291,-10.8,1.1428572,3.0769231,-0.011111232,0.031185422,-0.00015986271
292,-10.8,1.7142857,3.0769231,-0.006259018,0.033296645,-0.00015399909
293,-10.8,2.2857144,3.0769231,0.007925374,0.03181059,-0.00012731236
294,-10.8,2.857143,3.0769231,0.012951554,0.032275755,-9.107042e-05
295,-10.8,3.4285715,3.0769231,0.027440265,0.032322448,-0.00012078167
296,-10.8,4.0,3.0769231,0.032634363,0.03154118,-0.00015239316
297,-10.8,0.0,2.4615386,-0.030002128,0.030813577,-0.00027831394
298,-10.8,0.5714286,2.4615386,-0.02516594,0.034363054,-0.0002812857
299,-10.8,1.1428572,2.4615386,-0.011151493,0.031195711,-0.00026892225
300,-10.8,1.7142857,2.4615386,-0.00631047,0.033315104,-0.00022204405
301,-10.8,2.2857144,2.4615386,0.007892589,0.031838752,-0.00018950361
302,-10.8,2.857143,2.4615386,0.012901401,0.032290876,-0.0001629495
303,-10.8,3.4285715,2.4615386,0.027415423,0.03235561,-7.228935e-05
304,-10.8,4.0,2.4615386,0.03259266,0.031555466,2.5102068e-05
305,-10.8,0.0,1.8461539,-0.030073099,0.030840186,-0.0004073105
306,-10.8,0.5714286,1.8461539,-0.025240801,0.03434226,-0.0003706947
307,-10.8,1.1428572,1.8461539,-0.011200068,0.03126745,-0.00033588658
308,-10.8,1.7142857,1.8461539,-0.006380695,0.033325076,-0.0002975791
309,-10.8,2.2857144,1.8461539,0.00783243,0.03189636,-0.0002537476
310,-10.8,2.857143,1.8461539,0.0128314,0.032316018,-0.00017588183
311,-10.8,3.4285715,1.8461539,0.027358307,0.0324131,-0.00017506028
312,-10.8,4.0,1.8461539,0.032544684,0.031597074,-0.00019761354
