ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
47,1,-4.7199133e-05,0.00012441156,3.8311788e-05,0.00014990482,4.600796e-09,7.8960326e-08
48,1,5.524033e-06,4.5426932e-05,2.4663786e-05,7.757504e-05,9.873658e-09,6.088732e-08
49,1,-1.9583847e-06,2.0473417e-05,6.717469e-06,6.346959e-05,2.2723828e-08,2.8318132e-08
50,1,1.2823304e-05,-4.2239884e-05,7.410022e-05,-2.1126936e-05,-1.3177513e-05,1.0804083e-06
51,1,-3.193196e-05,5.492292e-05,7.1266186e-05,-0.00015599866,-1.538497e-05,3.3467475e-06
52,1,-1.4366137e-05,5.973965e-05,6.014524e-05,6.047285e-05,-1.4451827e-05,3.1938778e-06
53,1,-1.5789537e-05,0.00010983602,4.676357e-05,-0.00016404675,-1.3945242e-05,1.6499772e-06
54,1,-4.816455e-05,0.00012646244,3.3446777e-05,0.00014689367,-1.3656171e-05,-1.0893066e-06
55,1,8.661842e-06,4.694862e-05,1.8291508e-05,7.778269e-05,-1.3467716e-05,-4.2322145e-06
56,1,-8.451927e-06,2.3626872e-05,2.090225e-06,6.4417145e-05,-1.748691e-05,-3.1179397e-06
57,1,-2.2216266e-06,-3.4620043e-05,6.4570886e-05,-3.4792327e-05,-3.1736996e-05,3.5088485e-06
58,1,-2.6517782e-05,6.063451e-05,5.2216634e-05,-0.00015862344,-3.038961e-05,4.377755e-06
59,1,-1.2079413e-05,6.53962e-05,4.2577278e-05,6.527392e-05,-3.1062744e-05,2.7153333e-06
60,1,-1.5469659e-05,0.00011443011,3.1436262e-05,-0.00017116904,-2.7807333e-05,2.924278e-07
61,1,-4.5008906e-05,0.00013150743,1.7191725e-05,0.00014771815,-2.4216988e-05,-3.7396371e-06
62,1,7.549121e-06,5.3226267e-05,3.2142755e-06,7.592535e-05,-2.4514877e-05,-9.541563e-06
63,1,1.9801493e-07,2.8919574e-05,-1.51716185e-05,6.321528e-05,-3.2050448e-05,-5.8173346e-06
64,1,1.6513919e-05,-2.4645291e-05,2.6245467e-05,-1.994348e-05,-5.7123576e-05,-4.6263168e-07
65,1,-2.8140303e-05,7.132665e-05,2.233613e-05,-0.00015823662,-5.2903844e-05,-2.0814565e-07
66,1,-9.8472065e-06,7.3312396e-05,1.3612951e-05,5.7782392e-05,-4.7772945e-05,-3.7709187e-06
67,1,-1.1072985e-05,0.00012191124,4.3292944e-06,-0.00017123805,-4.1786963e-05,-6.878287e-06
68,1,-4.516803e-05,0.00013938364,-5.371945e-06,0.00014033946,-3.4724242e-05,-1.1234122e-05
69,1,1.28225565e-05,6.0374194e-05,-1.9286375e-05,7.421407e-05,-2.9208837e-05,-1.5368098e-05
70,1,-4.1156336e-06,3.7723865e-05,-3.423562e-05,6.355051e-05,-3.1011645e-05,-9.186209e-06
71,1,7.874623e-06,-8.732161e-06,-6.6141465e-06,-3.0877203e-05,-3.6537323e-05,-2.262384e-06
